restaurant_id,category_id,name,description,price,image,is_available,preparation_time,allergens,spicy_level,is_vegetarian,is_vegan,is_recommended,created_at,updated_at
1001,1,Bruschetta,"Fresh tomatoes, garlic, and basil on toasted bread",12.99,https://images.unsplash.com/photo-1572695157366-5e585ab2b69f,true,10,"{gluten}",mild,true,true,true,2025-03-02 10:55:23.075986+00,2025-03-02 10:55:23.075986+00
1001,1,Caprese Salad,"Fresh mozzarella, tomatoes, and basil",14.99,https://images.unsplash.com/photo-1592417817098-8fd3d9eb14a5,true,8,"{dairy}",none,true,false,true,2025-03-02 10:55:23.075986+00,2025-03-02 10:55:23.075986+00
1001,2,Osso Buco,"Braised veal shanks with gremolata",38.99,https://images.unsplash.com/photo-1544359355-efb7d5579afb,true,30,"{none}",none,false,false,true,2025-03-02 10:55:23.075986+00,2025-03-02 10:55:23.075986+00
1001,3,Spaghetti Carbonara,"Classic carbonara with pancetta and egg",24.99,https://images.unsplash.com/photo-1612874742237-6526221588e3,true,20,"{gluten,dairy,eggs}",none,false,false,true,2025-03-02 10:55:23.075986+00,2025-03-02 10:55:23.075986+00
1001,4,Tiramisu,"Classic Italian coffee-flavored dessert",11.99,https://images.unsplash.com/photo-1571877227200-a0d98ea607e9,true,0,"{gluten,dairy,eggs}",none,true,false,false,2025-03-02 10:55:23.075986+00,2025-03-02 10:55:23.075986+00
1002,6,Miso Soup,"Traditional Japanese soup with tofu",8.99,https://images.unsplash.com/photo-1578020190125-f4f7c18bc9cb,true,5,"{soy}",none,true,true,false,2025-03-02 10:55:23.075986+00,2025-03-02 10:55:23.075986+00
1002,6,Salmon Nigiri,"Fresh salmon over seasoned rice",16.99,https://images.unsplash.com/photo-1579871494447-9811cf80d66c,true,10,"{fish}",none,false,false,true,2025-03-02 10:55:23.075986+00,2025-03-02 10:55:23.075986+00
1002,7,Dragon Roll,"Eel, cucumber, avocado with special sauce",24.99,https://images.unsplash.com/photo-1579584425555-c3ce17fd4351,true,15,"{fish,gluten,soy}",medium,false,false,true,2025-03-02 10:55:23.075986+00,2025-03-02 10:55:23.075986+00
1002,8,Green Tea Ice Cream,"Homemade matcha ice cream",9.99,https://images.unsplash.com/photo-1505394033641-40c6ad1178d7,true,0,"{dairy}",none,true,false,false,2025-03-02 10:55:23.075986+00,2025-03-02 10:55:23.075986+00
1003,11,Loaded Nachos,"Tortilla chips with cheese, jalapeños, and guacamole",14.99,https://images.unsplash.com/photo-1513456852971-30c0b8199d4d,true,12,"{dairy}",medium,true,false,false,2025-03-02 10:55:23.075986+00,2025-03-02 10:55:23.075986+00
1003,12,Classic Cheeseburger,"Angus beef patty with cheddar and special sauce",18.99,https://images.unsplash.com/photo-1568901346375-23c9450c58cd,true,15,"{gluten,dairy}",none,false,false,true,2025-03-02 10:55:23.075986+00,2025-03-02 10:55:23.075986+00
1003,12,Veggie Burger,"Plant-based patty with avocado",17.99,https://images.unsplash.com/photo-1585238342024-78d387f4a707,true,15,"{gluten,soy}",none,true,true,true,2025-03-02 10:55:23.075986+00,2025-03-02 10:55:23.075986+00
1003,13,Sweet Potato Fries,"Crispy sweet potato fries with aioli",8.99,https://images.unsplash.com/photo-1585109649139-366815a0d713,true,10,"{eggs}",none,true,true,false,2025-03-02 10:55:23.075986+00,2025-03-02 10:55:23.075986+00
1003,14,Chocolate Shake,"Rich chocolate milkshake with whipped cream",9.99,https://images.unsplash.com/photo-1572490122747-3968b75cc699,true,5,"{dairy}",none,true,false,false,2025-03-02 10:55:23.075986+00,2025-03-02 10:55:23.075986+00
